tdate;ttext;tgeo
2016-07-26 12:44:48;Как прикольно ходить по городу в итмошной футболке. Все думают, что ты из итмо, а ты нет;None
2016-07-26 12:15:32;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 12:07:18;RT @spbifmo: Как уехать на семестр в один из лучших вузов Европы и остаться там на два года https://t.co/3G2GkAP3cA #ИТМО;None
2016-07-26 12:03:17;Как уехать на семестр в один из лучших вузов Европы и остаться там на два года https://t.co/3G2GkAP3cA #ИТМО;None
2016-07-26 11:44:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/9irwsGN7GQ;None
2016-07-26 11:08:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/gEaUzNlBuc;None
2016-07-26 11:06:36;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 11:06:35;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 11:06:34;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 10:36:56;В ИТМО стоят 2 здоровенных покебола (yo have a cancer b0ss) и все стены в джейке псе. Если пойду забирать доки для Сафу то сфоткаю;None
2016-07-26 10:06:11;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 09:47:25;Как изучить тонкую структуру со сверхвысоким разрешением https://t.co/HY2HCaulQ4 #ИТМО;None
2016-07-26 09:03:12;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 09:03:06;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 08:48:07;Заселился. (@ Студенческий городок Университета ИТМО in Санкт-Петербург) https://t.co/tFDAerNVX9;None
2016-07-26 08:09:53;Поймай всех и переводись из ИТМО. Студент из Петербурга стал лучшим охотником на покемонов в мире https://t.co/a1OUgsalzb;None
2016-07-26 07:28:25;И тут покемоны, аааа. Они поставили на проходной покетболлы, ну или как они называются. Это я про итмо.;None
2016-07-26 01:48:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/ICKCJjxxKF;None
2016-07-26 01:15:29;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 00:51:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-26 00:51:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 23:48:37;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 23:40:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/s0rIv7eSSY;None
2016-07-25 22:47:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 22:41:27;реально ли поступить на бюджет в ИТМО;None
2016-07-25 22:32:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/5dbJwL2sSr;None
2016-07-25 21:45:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 20:42:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 20:42:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:55:14;Университет ИТМО вошел в десятку лучших исследовательских вузов России #Лайк;None
2016-07-25 19:39:36;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:39:35;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:39:34;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:39:33;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:19:54;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
2016-07-25 19:12:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/cBFtpfXPBX;None
2016-07-25 18:38:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России: Как отмечают эксперты, заметно активизировались в плане…;None
2016-07-25 18:17:19;RT @peterburgkrasiv: Университет ИТМО приглашает абитуриентов на магистерскую программу по урбанистике. /  / До 15 августа магистратур.. ht…;None
2016-07-25 18:14:41;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/cuyqOoPnTw https://t.co/ROKF2winIN;None
2016-07-25 17:48:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/tahBK2fgx4;None
