tdate;ttext;tgeo
2016-07-26 14:17:33;В моем МФТИ спокойно относятся к тем, кто сдал на низкие баллы и прошел по целевому набору или на платное, шанс есть у каждого;None
2016-07-26 14:17:13;Какая лучшая зарплата выпускника МФТИ в среднем за месяц?;None
2016-07-26 14:13:49;Российские физики упростили квантовые вычисления на кудитах.  /   / Физики из МФТИ и Российского квантового центр.. https://t.co/SD8QEEFl2m;None
2016-07-26 13:41:29;Павел Волчков из МФТИ рассказывает Forbes @ForbesRussia о биотехнологиях  https://t.co/UloWXGtw7z https://t.co/sIvvk17EUx;None
2016-07-26 13:34:23;RT @mathOO7tutor: Поиск по Москве и области / Преподаватели МФТИ - репетиторы по математике / Онлайн уроки математики / Учиться б.. https:/…;None
2016-07-26 13:34:19;RT @mathOO7tutor: Поиск по Москве и области Преподаватели МФТИ - репетиторы по математике Онлайн уроки математики Учиться будете легк…https…;None
2016-07-26 13:31:15;Поиск по Москве и области Преподаватели МФТИ - репетиторы по математике Онлайн уроки математики Учиться будете легк…https://t.co/0i6OqvUrTd;None
2016-07-26 13:30:48;Поиск по Москве и области / Преподаватели МФТИ - репетиторы по математике / Онлайн уроки математики / Учиться б.. https://t.co/bKiWEx7mbm;None
2016-07-26 13:22:15;Оказывается, в природе существуют люди, поступающие на физика и не знающие, что такое физтех;None
2016-07-26 11:38:44;Российские физики придумали кутриты, кукварты и кудиты Учёные из МФТИ и Российского квантового центра предложили в… https://t.co/2Cd3Sj9J9q;None
2016-07-26 11:31:40;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/11fREN44oH;None
2016-07-26 11:31:37;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/1dqBOpIdGS;None
2016-07-26 11:31:36;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/rU81Qrwqk4;None
2016-07-26 11:31:35;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/it8vfGSzgL;None
2016-07-26 11:31:33;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/FbGBYdZSSV;None
2016-07-26 11:31:32;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/ycDoE8uu6D;None
2016-07-26 11:31:32;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/diOYKbyhJM;None
2016-07-26 11:31:32;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/rlGgxteMEQ;None
2016-07-26 11:31:31;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/2fl5U6AqXO;None
2016-07-26 11:31:31;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/R7zW1ZmTiD;None
2016-07-26 11:30:33;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/2rl78WP7GA;None
2016-07-26 11:30:32;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/GjmNMfBsLR;None
2016-07-26 11:30:32;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/Ibhv7PobZe;None
2016-07-26 11:30:28;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:28;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:28;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:28;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:27;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:27;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:26;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предложили вместо обычных одно...;None
2016-07-26 11:30:18;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/BytLs5cZrm;None
2016-07-26 11:30:18;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/MRdEG1nIiM;None
2016-07-26 11:30:18;Российские физики придумали кутриты, кукварты и кудиты: Учёные из МФТИ и Российского квантового центра предло... https://t.co/Qqx256iwSW;None
2016-07-26 10:42:11;МФТИ вошел в двадцатку университетов мира с лучшим образованием по версии CWUR - ТАСС;None
2016-07-26 10:18:23;I added a video to a @YouTube playlist https://t.co/KTKfYBGuW2 физтех отжигает на псевдонаучке;None
2016-07-26 07:36:05;Blog Post: Нефть, кровь и реголит: как в Сколтехе изучают сверхсложеные смеси: Ученые из Сколтеха, МФТИ и инс... https://t.co/MyIPAr5Qv8;None
2016-07-26 07:36:05;Blog Post: Нефть, кровь и реголит: как в Сколтехе изучают сверхсложеные смеси: Ученые из Сколтеха, МФТИ и инс... https://t.co/qG64JQlGzh;None
2016-07-26 02:57:49;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 23:25:27;Безумно не хочу, чтобы лето заканчивалось, и на физтех тоже совсем не хочу, но по своим мальчикам соскучилась. 578❤️❤️❤️;None
2016-07-25 22:02:21;Сегодня на физтех приезжала группа Россия-1. Если бы на стройках не спиздили миллионы, то завтра за этими деньгами приехали бы солдаты НАТО;None
2016-07-25 18:54:24;Народ! Как вы относитесь к МФТИ?;None
2016-07-25 18:49:44;@da_nazarov то есть человек, который нихуя не делал и затащил экзамены не поступит? Физтех уже не тот;None
2016-07-25 18:19:49;Русская Сила | Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер https://t.co/sQe4cia3kg;None
2016-07-25 17:22:05;#Жуковский Московский физико-технический институт и французский ISAE-SUPAERO – один из старейших… https://t.co/Ywpp9E3tqJ :;None
2016-07-25 17:11:22;Впервые на Пикнике «Афиши» @afishapicnic! Научная зона от МФТИ и НИТУ МИСиС @misisRu.  https://t.co/bX7rVYGlVW https://t.co/vT5pXHnHuX;None
2016-07-25 16:59:29;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 16:42:14;RT @mathOO7tutor: #Решение #задач вступительного #задания #МФТИ #Помощь преподавателя #Физтеха онлайн #ФИЗИКА #Репетитора #ЕГЭ в сдаче http…;None
2016-07-25 16:39:24;RT @maths_helper: Как #быстро #решать #задания тестов #SHL #Анализ #числовой информации https://t.co/a4YLPRrNfg с помощью #репетитора МФТИ…;None
2016-07-25 16:28:01;Такс Завязываю с истфаком перехожу в физтех!;None
2016-07-25 16:23:15;RT @Phystech: Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 16:17:56;Физтех вселяет в меня веру в науку. Ты приезжаешь, общаешься с умными людьми и понимаешь что сейчас ты полностью погружен в физику.;None
2016-07-25 16:07:24;RT @Phystech: Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 16:04:15;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 16:01:11;Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 15:19:46;RT @allscience_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https…;None
2016-07-25 15:13:08;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/ICtHLrtCFo;None
2016-07-25 15:09:16;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/pWUOjRez8V;None
2016-07-25 14:55:59;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/NEYyoEMiln;None
2016-07-25 14:55:58;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/2t8ltb0gpl;None
2016-07-25 14:11:12;МГУ, НИЯУ МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов России https://t.co/X3YTKKlbP6;None
2016-07-25 14:00:39;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 13:46:12;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 13:37:51;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности… https://t.co/z1EJRAgb8R #Тамбов #Кирсанов;None
2016-07-25 13:13:37;RT @mathOO7tutor: Уравнения, содержащие #модуль Как #решать #задачи вариационного #исчисления с #неизвестными #параметрами? #Дифференциальн…;None
2016-07-25 13:13:34;RT @mathOO7tutor: #vk КАК Я СДАЛ #ЕГЭ НА 100 БАЛЛОВ https://t.co/t14jSjTY7X #корни кубического #уравнения #онлайн ОГЭ #репетиторы МФТИ http…;None
2016-07-25 13:08:51;RT @maths_helper: #Прикольные #картинки! #Классная #помощь #репетитора #МФТИ #репетиторы #Москва #математика #английский язык #english http…;None
2016-07-25 13:05:05;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:59:05;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:56:31;RT @badrimg: МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов https://t.co/VHLmP1uTPP;None
2016-07-25 12:46:24;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов: Три московских вуза – ... https://t.co/pxJgKWKdbE;None
2016-07-25 12:46:22;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов: Три московских вуза – ... https://t.co/ITqahEdFid;None
