tdate;ttext;tgeo
2016-07-26 12:54:28;Какой факультет МГУ лучше : Московская Школа Экономики или экономический?;None
2016-07-26 12:41:36;Сколько стоит обучение на дневном в МГУ?;None
2016-07-26 12:35:03;Сергей Шапошников, преподаватель кафедры менеджмента ВШБ МГУ, 21 июля провел гостевую лекцию для студентов и... https://t.co/yyryuOyXKf;None
2016-07-26 12:28:04;Кто-нить учится на жур-факе в МГУ?;None
2016-07-26 12:26:56;Тем кто учится в МГУ;None
2016-07-26 12:25:19;Брат подается в МГУ на химфак. Смотрели сейчас с матерью списки блатников. Крым ведь наш? Почему бы не пустить девушку с 37 баллами по химии;None
2016-07-26 12:21:46;Профессор биологического факультета МГУ им. М.В. Ломоносова Александр Олескин и его коллега из ФБУН "Московский научно-исследовательский…;None
2016-07-26 12:15:09;По приколу посмотрела проходные баллы в МГУ на биологию  Просто эхехехехех;None
2016-07-26 12:14:31;кто-нибудь идет на курсы при мгу им Ломоносова? на какой факультет?;None
2016-07-26 12:14:24;Летняя школа СУНЦ МГУ и НГУ   С 25 июля по 7 августа на базе Малой академии наук РС (Я) проходит.. https://t.co/zuEr7egvte;None
2016-07-26 12:10:21;На очередном ночном дежурстве пришлось открывать дверь камералки декану геофака мгу. Адреналин;None
2016-07-26 12:09:06;Главный герой, преподаватель кафедры истории Древнего мира в МГУ, в результате несчастного случая становится менталистом: прикасаясь ...;None
2016-07-26 12:01:03;@dima_leemon ждать видео на сайте журфака МГУ?;None
2016-07-26 11:47:38;Только что мой персонаж в Симсе вышел с экзамена в универе и умер. Наверное, тоже в МГУ учился.;None
2016-07-26 11:36:22;А вот руководитель модуля «Спорт в СМИ» журфака МГУ свой топ назвать отказался. Либо не знает никого, либо… А ведь мог подсказать студентам.;None
2016-07-26 11:28:33;Я ТААААККК ЛЮБЛЮ СКАМЕЙКИ ПЕРЕД ГЗ МГУ!!!!*_* ПРОСТО СЛОВ НЕТ И СИЛ НЕТ, КАК ЛЮБЛЮ!!!!=******** ОСОБЕННО В ЖАРУ!!!И ОСОБЕННО ПОД ДЕРЕВЬЯМИ!!;None
2016-07-26 11:27:36;Где найти книжную лавку МГУ? Как к ней пройти?;None
2016-07-26 11:15:42;В 2015 ГОДУ ПРОХОДНОЙ БАЛЛ В МГУ НА ЭКОНОМИКУ (БЮДЖЕТ) БЫЛ 342 (3 ЕГЭ + ДВИ). ВСЁ, ТУШИТЕ СВЕТ!;None
2016-07-26 11:12:19;Всегда мечтала застрять в лифте мгу 😾😾;None
2016-07-26 11:09:39;Ректор #МГУ В.А.Садовничий и декан ФГУ МГУ, председатель Комитета ГД по образованию В.А.Никонов на #Балтартек https://t.co/m0MR2DLFwE;None
2016-07-26 11:05:54;Гостям "Аптекарского огорода" подарят коллекционные лилейники:  Ботанический сад МГУ ("Аптекарский огород") в... https://t.co/b0i8k6jy8R;None
2016-07-26 11:00:46;забрала доки из мгу просто без проблем и даже стыдно не было мне еще женщина в пк удачи пожелала;None
2016-07-26 10:53:57;сидим смотрим проходные баллы МГУ и в МГИМО,и я такая приахуела;None
2016-07-26 10:48:46;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:48:36;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:48:15;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:47:30;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:47:26;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:45:24;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:45:12;RT @lisajohnsonecox: 65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:44:14;65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 10:42:53;второкуры юрфака мгу отзовитесь что ли;None
2016-07-26 10:22:05;RT @IgorSlobodin1: Доцент журфака МГУ: «В этом году мы набрали инопланетян» https://t.co/uU3jltNGPo;None
2016-07-26 10:10:51;Как готовиться к экзаменам на филфак МГУ?;None
2016-07-26 10:06:42;Новый патент МГУ: ультразвук для удаления опухолей https://t.co/7mXMMccPtE https://t.co/hE8Jh4qRIv;None
2016-07-26 10:02:33;Я в ахуе от того, что в Сибири встречаются люди, которые не ебут, что такое МГУ;None
2016-07-26 09:59:29;Возможно ли студентке МГУ 1 курса найти работу по вечерам или выходным?;None
2016-07-26 09:52:45;Ананасики-малышки🍍🍍 #vsco #vscocam #vscogrid #pinapples @ Ботанический сад МГУ «Аптекарский огород» https://t.co/jl17KSHTs4;55.77779515,37.63405819
2016-07-26 09:40:21;Филологи в МГУ очень добрые и милые, жаль я не смогла быть одной из них.;None
2016-07-26 09:34:27;@dm_e яйца гадюк: журфак МГУ и медиаком ВШЭ;None
2016-07-26 09:33:41;RT @wlovensqualor: эта ебанина выставлена в музее мгу и с точностью 99% отражает сейчас моё эмоциональное состояние https://t.co/daqPIY0Trj;None
2016-07-26 09:33:18;RT @wlovensqualor: эта ебанина выставлена в музее мгу и с точностью 99% отражает сейчас моё эмоциональное состояние https://t.co/daqPIY0Trj;None
2016-07-26 09:28:34;Оригинал сдан 👌🏻 (@ Химический факультет МГУ in Москва, Moscow) https://t.co/OGWK9oKfOq https://t.co/CnTuo2nUo9;55.70175307,37.52638898
2016-07-26 09:23:05;@kulakovri учитывая что ты в подвале под мгу живешь;None
2016-07-26 09:18:00;Звезда на шпиле МГУ    Фото: dmitryabaza https://t.co/cLFGo4QkKO;None
2016-07-26 09:15:46;Экспедиция исторического факультета МГУ продолжает свою работу;None
2016-07-26 09:11:59;Доцент журфака МГУ: «В этом году мы набрали инопланетян» https://t.co/uU3jltNGPo;None
2016-07-26 09:08:43;"@EducationDep:«Золото» (гимназия № 1567) и 2«серебра» (СУНЦ МГУ). Поздравляем победителей https://t.co/bxwK3Vzi7w https://t.co/F9G5JPpmgc;None
2016-07-26 09:02:00;Сдать три экзамена ЕГЭ под 100 баллов + вступительный экзамен тоже под сотку, и поступить в МГУ на бюджет  Затащиил 🔝💥;None
2016-07-26 08:59:41;@Rika_LiNova достало все нахуй. не мгу. не знаю, что делать дальше. я в заднице;None
2016-07-26 08:48:57;#ТвиБрайнМапс Не мгу посмотреть Periscope КАЖИТЕ КТО ВЫГРАЛ ПЖ;None
2016-07-26 08:42:31;Ректор МГУ им.Ломоносова, соучредитель #РДШ В.Садовничий:«Нет ничего важнее для страны,чем образование, если страна думает о своем будущем!»;None
2016-07-26 08:41:51;#ТвиКатяКлэп а то даже посмотреть не мгу ахахах;None
2016-07-26 08:35:26;О грамотности пипла В МГУ прошли вступительные Экзамены! Там ЕГЭ не ЩИТАЕЦЦА. И абитура пишет Диктант! Результат Ад😈 https://t.co/xXFCAUeOhp;None
2016-07-26 08:16:17;Официально студент МГУ 💪💪;None
2016-07-26 08:06:37;Как выжить в МГУ, если я из слабой школы?;None
2016-07-26 08:06:11;Начало образовательной программы на #БалтАртек #РДШ / Почетные гости форума ректор МГУ В.Садовничий, депутат ГД РФ.. https://t.co/G7gL8J8FI6;None
2016-07-26 08:00:30;Доцент журфака МГУ: «В этом году мы набрали инопланетян»;None
2016-07-26 07:35:08;@i_need_u_hope в МГУ на филфак О,а ты куда? Что сдавал?;None
2016-07-26 07:31:19;RT @GPKM56: 29.07 - у нас VI Федоровскиие чтения. К юбилею профессора МГУ Владимира Александровича Федорова (1926-2006). https://t.co/BDfTC…;None
2016-07-26 07:20:07;Сын депутата поступил в МГУ без сдачи экзаменов. На его месте так поступил бы каждый.;None
2016-07-26 07:18:58;У кого-нибудь есть РЕАЛЬНЫЕ предложения работы для студентки МГУ 1 курса дневного отделения?;None
2016-07-26 07:15:14;А я сегодня наконец-то получила свой студачок!!! Теперь я законная студентка МГУ;None
2016-07-26 07:13:08;Центр подготовки и тестирования иностранных граждан МГУ имени М;None
2016-07-26 07:12:30;surikovvv Эй, вы,там, наверху-не пора ли опомниться?.Навстречу выборам. ЕГЭ уничтожил наше образование на корню-доцент МГУ А. Николаева.;None
2016-07-26 06:40:56;Случайно наткнулся на это здание #мгу #москва https://t.co/6LgcGdsPzS;None
2016-07-26 06:38:58;МГУ леса увез «золото» в Мытищи. Видео https://t.co/WhU9ZxQ6QQ;None
2016-07-26 06:32:46;Была передача, с участием писателя фантаста Сергея Лукьяненко и преподавателя из МГУ.;None
2016-07-26 06:25:08;https://t.co/8g6pCGOpS7 Суд продлил на два месяца срок ареста студентке МГУ Карауловой #news #новости https://t.co/j69bAptCu1;None
2016-07-26 06:01:10;я уже не мгу  меня чуть 2 раза не стошнило;None
2016-07-26 05:53:58;@niallslilbaby ты куда оригинал подала? В МГУ?;None
2016-07-26 05:20:10;ПОЧЕМУ в моровом рейтинге по качеству образования наш МГУ им. Ломоносова занял 93 место?;None
2016-07-26 04:35:23;В 1992 году с красным дипломом окончила экономический факультет МГУ им;None
2016-07-26 03:36:11;Вот ещё классный #закат на зелёной аллее.  #Москва #Мск #МГУ #воробьевыгоры #город #вечер #urban… https://t.co/8PkNNp1WJv;None
2016-07-26 03:05:45;RT @v_tretyakov: Последняя волна приёма документов в Высшую школу телевидения МГУ - до 10 августа В этом году приём в магистратуру... https…;None
2016-07-26 02:42:06;Концерт международного камерного оркестра Collegium Musicum прошел в Аптекарском огороде: В Ботаническом саду МГУ… https://t.co/2tsTLOrz64;None
2016-07-26 01:44:12;Новости: Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ  #новости;None
2016-07-26 01:44:07;Новости: Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ  #новости;None
2016-07-26 01:18:03;65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 00:54:02;65 летняя первокурсница юридического факультета МГУ боится, что не успеет поработать по специальности.;None
2016-07-26 00:14:34;БЫЛО ОЧЕНЬ ОЖИДАЕМО ЧТО ОНИ ВЫЙГРАЮ НО ААААААААА Я АЖ СЛЕЗУ ПУСТИЛА НЕ МГУ;None
2016-07-26 00:11:28;Сегодня шли с МГУ до Юго-Западной, и я как-то давно видел фото 80х годов что на этой трассе стояли только три высотки и больше ничего;None
2016-07-26 00:11:23;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/k9O8UWIGep;None
2016-07-26 00:11:22;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/jveGHW7vna;None
2016-07-26 00:11:21;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/bJF4h8gMIu;None
2016-07-26 00:11:21;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/nMdAZl4Bvy;None
2016-07-26 00:11:20;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/tu8X3Hhp8I;None
2016-07-26 00:11:19;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/6V2G9JlJJj;None
2016-07-26 00:11:18;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/Q2OEeV80U1;None
2016-07-26 00:11:18;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/uf0ok2ODRZ;None
2016-07-26 00:11:17;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/67BbAU2eut;None
2016-07-26 00:11:17;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/KSyIY6SQrr;None
2016-07-26 00:11:17;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/XrI5y5MW90;None
2016-07-26 00:11:16;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/pwjGqq8e5z;None
2016-07-26 00:11:15;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/iX0i2WykKN;None
2016-07-26 00:11:15;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/SfL1SUI3yz;None
2016-07-26 00:11:14;#Здоровье Российские ученые предлагают лечить рак наночастицами: Научная группа из МГУ им. Ломоносова вместе ... https://t.co/zdAUskC4jH;None
2016-07-26 00:06:18;здание журфака мгу такое красивое *__*;None
2016-07-26 00:03:10;Я уехал в 1999. С работой было все отлично (физфак МГУ), но...;None
2016-07-25 23:46:20;Just posted a photo @ Главное здание МГУ https://t.co/2R7mZHbMgs;None
2016-07-25 23:03:37;@ ого он такой умный в МГУ на физфак метит эх удачно зачали @ с вашей карты перечислено дохуя денег для покупки членопсов спасибо за покупку;None
2016-07-25 22:49:25;А какие экзамены надо сдать, чтобы поступить на факультет высшего управления и инноваций(МГУ)?;None
2016-07-25 22:30:47;Кто-нибудь учится в МГУ?;None
2016-07-25 22:22:17;не ну скОжити мни паЦиму тут так многа ниграмотных Людий!!!Скока тирпеть это висе мне как пидагогу МГУ по рускаму язику;None
2016-07-25 22:19:42;Сколько стоит платное обучение в МГУ?;None
2016-07-25 21:55:08;О етот неловкий момент, когда жена маминого гендиректора сидит на сайте МГУ и мониторит мои баллы за ДВИ))))));None
2016-07-25 21:51:57;МГУ https://t.co/4LjKk2O5so;None
2016-07-25 21:51:43;RT @journ_msu: Предлагаем вашему вниманию программы профессиональной переподготовки, которые доступны в этом году на журфаке МГУ. https://t…;None
2016-07-25 21:43:45;Почему я должна поступать в МГУ или СПбГУ на юрфак или истфак если я хочу рисовать;None
2016-07-25 21:28:50;Очень хочу поступить в МГУ на экономический! Просвятите!!!;None
2016-07-25 21:22:17;Мне предлагают пойти сдать экз в мгу;None
2016-07-25 20:56:53;Я серьезно задумываюсь о поступлении в мгу прикольно да?;None
2016-07-25 20:52:41;Пришлите готовую работу для поступающих в МГУ по химии;None
2016-07-25 20:50:35;когда в сентябре будет день открытых дверей в МГУ на юридическом факультете?;None
2016-07-25 20:46:01;Для тех кто учится в МГУ: как сдать экзамен Г. А. Кутьиной???;None
2016-07-25 20:45:55;#вечер  #красота  #деньги  приглашение иностранного специалиста биофак мгу;None
2016-07-25 20:41:42;как бакинцу поступить в МГУ?;None
2016-07-25 20:35:23;RT @Scientific_Rus: В МГУ усовершенствовали устройство для ультразвукового разрушения опухоли #scientificrussia  https://t.co/LtPyKap99w ht…;None
2016-07-25 20:31:48;я думала МГУ заканчивают умные а оказалось там полно придурков! Для вас образование, что нить значит?;None
2016-07-25 20:26:48;Сижу слушаю лекции МГУ по биохимии за..2009 год.😄;None
2016-07-25 20:19:22;МГУ вышел на седьмое место в рейтинге лучших университетов БРИКС https://t.co/8nVGmLvRIC;None
2016-07-25 20:18:31;@aanaast зажрался-это когда прошёл в МГУ на бюджет, но не хочешь туда идти 😂;None
2016-07-25 20:14:54;МГУ вошел в топ-10 рейтинга QS стран БРИКС https://t.co/DP2o6ea9uE;None
2016-07-25 20:04:03;RT @tranamfi83: В МГУ открылся инженерный факультет;None
2016-07-25 20:00:48;Хочу поступить в МГУ, но некоторые считают,что это перебор. Так ли?;None
2016-07-25 19:58:55;Видео "МГУ леса увез «золото» в Мытищи" (https://t.co/PlCzp19ho5) на @YouTube добавлено в;None
2016-07-25 19:53:56;RT @mkirilenko: Супер команда! #бежимсосмыслом #бегущиесердца ✌️ @ Главное здание МГУ https://t.co/1BCh204FME;None
2016-07-25 19:49:48;Смотровая площадка МГУ: описание, адрес и особенности https://t.co/fNO8EpOqhb;None
2016-07-25 19:48:09;разве нет общедоступных уличных веб-камер в Москве (кроме МГУ, Пушкинской, Украины и т.п.) ?;None
2016-07-25 19:47:10;@lolotrololo так я в мгу поступаю ха;None
2016-07-25 19:46:05;как бакинцу поступить в МГУ?;None
2016-07-25 19:36:29;Ох верха, я ж не далека 🌙 @ МГУ - Moscow State University https://t.co/hpoWRPL5rZ;55.7029305,37.5308609
2016-07-25 19:35:13;и расскажите что за тесты будут при поступлении на подготовительные курсы при мгу журналистика?;None
2016-07-25 19:29:58;RT @v_tretyakov: Последняя волна приёма документов в Высшую школу телевидения МГУ - до 10 августа В этом году приём в магистратуру... https…;None
2016-07-25 19:27:42;Кстати, если кто знает ОГУ, второй после МГУ по величине, важности и взяткам. Что вы об этом думаете?;None
2016-07-25 19:26:23;@obeyedforone ну да, что аж самый тупой, что аж маман не верит что я поступлю в МГУ;None
2016-07-25 19:26:22;Ученые из МГУ запатентовали технологию разрушения опухолей с помощью ультразвука https://t.co/tXnyiYRv6v #патент #изобретение #инновации;None
2016-07-25 19:18:35;Уверен , воз и ныне там.. журфак мгу: "крым не наш, россия ведет войну на украине": сайт "Сайт Михаила Хазина" https://t.co/2zPJdjqmCp;None
2016-07-25 18:54:30;Какая группа круче: "Мраморный Морж" или "Заяц Завен МГУ"?;None
2016-07-25 18:53:50;RT @Dmitry_Shvykov: Раньше я думал, что самые тупые охранники - в Шуваловском корпусе МГУ. Но сегодня рекорд идиотизма побили администратор…;None
2016-07-25 18:50:58;Воспоминание этой недели: Стёпа сорвал яблоко на территории МГУ и съел его. А оно было дико кислое и не очень-то пригодное для пищи!;None
2016-07-25 18:48:49;Снято на фартопарат😂 (@ МГУ им. М. В. Ломоносова in Москва) https://t.co/hzKDyb2X05 https://t.co/8QwsonfShs;None
2016-07-25 18:48:25;Сколько стоит обучение в МГУ?;None
2016-07-25 18:46:05;Just posted a photo @ МГУ - Moscow State University https://t.co/ZiOdRWxMGN;55.7029305,37.5308609
2016-07-25 18:40:44;Выбираю между Вышкой и МГУ...;None
2016-07-25 18:37:25;Даже если бы я поступила в МГУ, то все равно говорила бы, что учусь в шараге, потому что туда берут таких тупых, как я);None
2016-07-25 18:36:28;мгу фигня, первое место только благодаря точным наукам, а уровень обучения там упал до безобразия. кто не согласен?;None
2016-07-25 18:35:46;Лучшая подруга — это: — Иди в МГУ, а практиковаться будешь на мне. Я буду придумывать проблемы и плакать тебе;None
2016-07-25 18:29:49;RT @IvanAnderssen: @FOXLADY9 I wanna talk later tonight or tomorrow about my plans if I don't get into МГУ. (Privately) because I'm leaving…;None
2016-07-25 18:27:20;@FOXLADY9 I wanna talk later tonight or tomorrow about my plans if I don't get into МГУ. (Privately) because I'm leaving America;None
2016-07-25 18:24:10;RT @ViolinOwl5698: Сын собрался стать почвоведом, в МГУ пока проходит. Кто нибудь знает, насколько сейчас стране нужны почвоведы?....;None
2016-07-25 18:22:59;какой проходной балл в мгу;None
2016-07-25 18:22:46;RT @ViolinOwl5698: Сын собрался стать почвоведом, в МГУ пока проходит. Кто нибудь знает, насколько сейчас стране нужны почвоведы?....;None
2016-07-25 18:22:40;Какой смысл вторгаться в заповедную зону Ботанического сада МГУ на Проспекте Мира?;None
2016-07-25 18:22:09;Сын собрался стать почвоведом, в МГУ пока проходит. Кто нибудь знает, насколько сейчас стране нужны почвоведы?....;None
2016-07-25 18:11:39;ТУТ ЕСТЬ СТУДЕНТЫ (МГУ ПС)МИИТа;None
2016-07-25 18:11:32;Доцент журфака МГУ: «В этом году мы набрали инопланетян» | Back in the USSR https://t.co/wdG5rEjMDO;None
2016-07-25 18:11:30;@revyusha она в спбгу и в мгу проходит, не хочет в мгу идти и я грущу поэтому(((;None
2016-07-25 18:10:34;@lumottu аа, вот в каком смысле) понятно тогда. Она в мгу чтоль?;None
2016-07-25 18:06:38;Доцент журфака МГУ: «В этом году мы набрали инопланетян»;None
2016-07-25 17:46:33;Что вы думаити об МГУ;None
2016-07-25 17:34:02;я че-то не мгу ном записать?!;None
2016-07-25 17:33:00;Asgharali - Lulutal Bahrain #мгу #юрфак #кофемания #европейский #метрополис #охотныйряд #м� https://t.co/psCIS0qYBb;None
2016-07-25 17:26:40;Окончил Институт восточных языков при МГУ им;None
2016-07-25 17:25:28;поступил в МГУ https://t.co/AayaXnp7AS;None
2016-07-25 17:22:36;Раньше я думал, что самые тупые охранники - в Шуваловском корпусе МГУ. Но сегодня рекорд идиотизма побили администратор и охранница Химика.;None
2016-07-25 17:19:08;Есть платка в МГУ: топовый вуз страны,шикарное местоположение факультета,но отсутствие практики и куча научной работы,что меня не устраивает;None
2016-07-25 16:55:32;на самом деле, я просто отвез аттестат в мгу, еще не видел списков, ни в чем не уверен, поэтому только Операция меня спасает;None
2016-07-25 16:45:14;Сын Медведева без экзаменов поступил в МГУ. Конкурс был серьезный. 23 института на 1 место.;None
2016-07-25 16:20:15;Что на самом деле происходит со спутником МГУ - Наука, Космос - МК https://t.co/h9o2Q51b48;None
2016-07-25 16:12:44;Биологи СУНЦ #МГУ стали обладателями серебряных медалей международной олимпиады по биологии https://t.co/LuSFcKwrby https://t.co/JOrScqTdYH;None
2016-07-25 16:12:33;#фф В 1975—1981 годах обучался на биологическом факультете МГУ;None
2016-07-25 16:07:12;О том, что Катя не поступила в МГУ, первым узнал отец-дальнобойщик.;None
2016-07-25 16:04:13;Как поступить в МГУ;None
2016-07-25 16:02:40;RT @v_tretyakov: Последняя волна приёма документов в Высшую школу телевидения МГУ - до 10 августа В этом году приём в магистратуру... https…;None
2016-07-25 15:59:24;Кто-нить учится на жур-факе в МГУ?;None
2016-07-25 15:57:48;@tsuprikova ВШБ это помойка для тех у кого лишние деньги, должен же МГУ как-то зарабатывать);None
2016-07-25 15:48:03;Смотрите в #Periscope: 250 человек и ПРЫГАЮ В ФОНТАН У МГУ!!! https://t.co/jATj3WfoE8;None
