tdate;ttext;tgeo
2016-07-31 10:25:24;Со мной в метро познакомился двадцатилетний студент физфака СПбГУ........;None
2016-07-31 10:22:50;mah face when мне сейчас звонили из спбгу с истфака;None
2016-07-31 10:20:11;В СПбГУ создали программу для исследования текстов на любом языке #взаимныйфолловинг;None
2016-07-31 10:19:12;Молодые математики СПбГУ создали программу, которая позволяет установить подлинность и авторство текстов,… https://t.co/eXQLSliE2z;None
2016-07-31 10:17:35;В Петербурге создали программу идентификации текстов на любых языках: Молодые математики СПбГУ создали программу, которая позволяет…;None
2016-07-31 09:56:50;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 09:51:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 09:37:45;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 09:25:19;В СПбГУ создали программу для исследования текстов на любом языке #AutoFollowBack;None
2016-07-31 09:14:42;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 08:57:06;В СПбГУ создали программу для исследования текстов на любом языке: Математиками Санкт-Петербургского… https://t.co/DleMDOe8Bb;None
2016-07-31 08:56:53;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:58;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;#ru_ff #ff_ru В СПбГУ создали программу для исследования текстов на любом языке  #новости;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:07;#fyseo_ru #наука В СПбГУ создали программу для исследования текстов на любом языке  #взаимный #читаю #ru;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке  #взаимныйфолловинг;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке  ...;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:54:38;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/UJjJ3vZLgb;None
2016-07-31 08:53:34;#973 В СПбГУ создали программу для исследования текстов на любом языке #lv;None
2016-07-31 08:48:15;🆕 #Наука #Космос В СПбГУ создали программу для исследования текстов на любом языке https://t.co/ZeIY1V0Pcc;None
2016-07-31 08:46:32;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/dF2M9pn63J;None
2016-07-31 08:42:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 08:37:01;RT @verdammmt: мое утро сделал факт, что в списках подавших документы в спбгу есть абитуриентка с фамилией отченаш  ОТЧЕНАШ СУКА;None
2016-07-31 08:33:50;Смотрю сайт СПбГУ. Радуюсь за Викулю, которая уже зачислена БВИ, и переживаю за Настю @skrount, потому что очень хочу, чтобы она прошла.;None
2016-07-31 08:31:08;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 08:22:31;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 08:09:13;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 07:57:04;Школа иностранных языков, СПбГУ,  - https://t.co/G450QpVDau тел: (812) 326-49-72 #фанпромо https://t.co/GQvQxv9eaF;None
2016-07-31 07:54:26;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 07:54:06;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 07:49:58;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 07:47:24;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 07:32:03;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/wehjA6oeQ0;None
2016-07-31 07:26:56;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 07:05:17;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:58:59;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:58:57;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:54:02;https://t.co/bwsJyQAmdi #ifollowall количество поданных заявлений спбгу;None
2016-07-31 06:44:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/BkZLxDkhb9;None
2016-07-31 06:43:37;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:42:07;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:31:10;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:25:32;#Наука: Математики СПбГУ разработали уникальную методику исследования текстов на любых яз... https://t.co/XYaTnOI3Xu #интересно;None
2016-07-31 06:25:31;#Наука: Математики СПбГУ разработали уникальную методику исследования текстов на любых яз... https://t.co/gZCcg8JBUF #интересно;None
2016-07-31 06:15:38;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:15:09;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:14:39;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:12:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:11:54;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:04:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:02:32;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:01:31;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:00:49;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 06:00:46;Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:00:27;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 05:01:09;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках — Новости науки https://t.co/QJKbdpxbzb;None
2016-07-31 03:38:27;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 03:38:18;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 03:20:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/V2Tbqr1Lay;None
2016-07-31 02:40:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/lKXwyVpBMp;None
2016-07-31 02:16:47;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:06;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:04;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:00:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 00:39:06;«Молодые математики матмеха СПбГУ Андрей Бояров и Александр Сенов разработали программу, позволяющую анализировать рукопись по кусочкам 80…;None
2016-07-30 23:56:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/oBD8dXSWQP;None
2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:47;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:45;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:44;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:58:29;В СПбГУ создали программу для исследования текстов на любом языке;None
