tname;tdate;ttext;tgeo
jst f-j;2016-07-31 14:36:27;забудь об ИТМО;None
pr;2016-07-31 10:50:58;@nobodyruns в итмо там чета пиздец баллы, сначала туда хотела  Вообще в этом году куча людей сдавала инфу ((;None
I ain't no nice guy;2016-07-30 22:16:10;Вк рекомендует мне "интересную" "новость" за 23 число. При этом я её уже видел. Сразу видно, что там спецы из ИТМО работают, ага.;None
Король ада;2016-07-30 17:37:51;@As_Mad_As_Shiny видела?! У меня одни маты... Когда там уже два года пройдёт и я поступлю в итмо? А-амбиции https://t.co/kaUX761hl8;None
Diamond cat;2016-07-30 17:18:28;@JenFableNoir я не знаю чем ты думаешь меняя итмо на горный;None
Гендзи;2016-07-30 15:37:23;@followFSWL кто там был против срача ИТМО и СПбГУ ?)));None
фикус;2016-07-30 12:44:19;@mychemicalfox оо, крут, у меня есть сча, но я хотел новую, а ИТМО не сотрудничает со сбером вроде(9  блина, так жду уже осени;None
Университет ИТМО;2016-07-30 07:02:41;Результаты Webometrics:  #ИТМО укрепил позиции в топ-1000 рейтинга https://t.co/sPIhbXcsTB;None
Anna Veklich;2016-07-30 06:54:32;RT @spbifmo: #ИТМО и "Лекториум" открыли регистрацию на первый в России онлайн-курс по научной коммуникации https://t.co/cWFItnYEvP;None
WHITE STAR;2016-07-30 06:50:04;@kseniaqaed не, нафиг итмо;None
Новости России;2016-07-30 01:11:27;Результаты Webometrics: Университет ИТМО укрепил позиции в топ-1000… https://t.co/ufnDBK3D89 #Петербург #Питер;None
Лизка II;2016-07-29 21:49:11;Я хочу, нет я хочу Поступить в ИТМО  И в Политех хочу;None
окунь;2016-07-29 19:45:27;Через год с Анькой поступаем в ИТМО. РЕШЕНО;None
ЖЕЛЕЗНЫЙ СЕРГЕЮШКА;2016-07-29 19:03:35;@thfrfthdrk итмо клевый ниче не скажешь на самом деле. ну на вечерке в герцухе скорее всего.;None
эн;2016-07-29 19:02:59;@your_guitarist пиздец просто хоть топись на технические в итмо например 255-270 проходной ) ты где вообще больше рассчитываешь учиться?;None
Корсаков Иван;2016-07-29 19:02:10;ИТМО следит за трендами. Первый неклассический и правда неклассический) https://t.co/rs9cwfChNd;None
Фрик-убийца;2016-07-29 19:00:43;Хотел в ИТМО, но все чёт говорят, что там учит только один учитель и только олимпиадников;None
Cassidy;2016-07-29 13:21:00;@_morgai я кстати тоже, вроде в ИТМО;None
Sergey Mardanov;2016-07-29 11:08:49;круто! Поздравляю всю команду ИТМО!  P.S. Нина Яныкина (Nina Yanykina) я же говорю, что сейчас важнее правильная... https://t.co/89mdwuyMNf;None
Максим Чусов;2016-07-29 11:06:05;Не прошел в итмо 😢  Зато ы бонч прошел. 😇;None
Nikita Kartashov;2016-07-29 10:36:36;@katya_titkova Если хоть какой-то опыт есть (или то же ИТМО в образовании), то на телефон, наверное, позовут. Олсо, через реферала легче.;None
Schrödinger;2016-07-29 10:26:38;МАМА,Я СТУДЕНТ!!!! Можете меня поздравлять с зачислением на 1 курс университета ИТМО!!!! 😜😜😜🤓🤓🤓😄😄😄;None
фикус;2016-07-29 09:49:17;больше шуток, ИТМО https://t.co/wXH2xfE68g;None
Влад-Реп;2016-07-29 08:44:15;15 минут до списков рекомендованных итмо  HYPE HYPE HYPE;None
Университет ИТМО;2016-07-29 08:01:44;Журнал Nature отметил #ИТМО в Index of Rising Stars! https://t.co/yd2aPY1UJd;None
M@}{;2016-07-28 21:28:02;Минутка расизма: в общаге итмо очень много кит.. Азиатов. На самом деле я не против, прост меня смущает незнакомый язык и некоторые повадки;None
Саша;2016-07-28 20:21:34;@sawyerkaSpb какие страшные слова! У меня в итмо такой предмет был;None
olé;2016-07-28 19:58:27;у УРФУ, ПГУ, ТомПУ, ТомГУ, СибФУ, ИТМО красивые эмблемы;None
Paulina;2016-07-28 19:10:41;У боли есть второе имя: приемная кампания ИТМО;None
Наука ★ Техника;2016-07-28 17:54:02;Российские ученые проводят анализ на сахар без крови /  / Выпускники Санкт-петербургского университета ИТМО разра.. https://t.co/KnayaMsdXg;None
Aleksei Shchekoldin;2016-07-28 17:42:26;RT @parsley_v: Увидела пост про студента, который собрал всех покемонов. Ага, из Бонча. Сейчас почитала таки..Ведь так и знала, что он из И…;None
Spark;2016-07-28 17:20:18;Окей гугл Как исправить карму Можно платно и с смс #итмо #политех #лэти;None
Михаил Иванов;2016-07-28 16:31:58;Наука и технологии России - QS BRICS: Университет ИТМО становится более международным https://t.co/QFwmNhPW2O;None
Университет ИТМО;2016-07-28 16:03:58;@@Fontanka_office: ученый из #ИТМО рассказал о том, когда появится шапка-невидимка и где использоваться https://t.co/6OufHwUAql;None
Университет ИТМО;2016-07-28 13:26:21;Виртуальная реальность: прогнозы и острые вопросы https://t.co/J7OUROZgjI #ИТМО;None
Университет ИТМО;2016-07-28 10:03:12;Как накапливать энергию от альтернативных источников с помощью молекул https://t.co/QmRTTONc29 #ИТМО;None
katie;2016-07-28 09:49:12;→приехала в ИТМО →поулыбалась парням  →уехала 😹;None
Университет ИТМО;2016-07-28 09:02:03;Летняя школа по русскому языку в #ИТМО: все особенности национальной культуры для европейцев https://t.co/A1FiMxXWfS;None
M@}{;2016-07-28 07:48:59;I'm at Факультет Фотоники и Оптоинформатики Университета ИТМО in Санкт-Петербург https://t.co/Tj030Y5glw;None
рыжеволосая тян :з;2016-07-28 07:38:00;декан меня так запугал, что мне теперь страшно идти в итмо...;None
Marie;2016-07-28 07:29:57;RT @parsley_v: Увидела пост про студента, который собрал всех покемонов. Ага, из Бонча. Сейчас почитала таки..Ведь так и знала, что он из И…;None
Университет ИТМО;2016-07-28 07:27:13;Результаты субрейтингов Webometrics:  #ИТМО – в тройке лидеров по России https://t.co/TW7krGSb2u;None
Илья Шебанов;2016-07-27 23:44:42;Сегодня я должен был сдавать экзамен в итмо. Сейчас я не хочу даже туда поступать;None
pika;2016-07-27 21:44:21;Увидела пост про студента, который собрал всех покемонов. Ага, из Бонча. Сейчас почитала таки..Ведь так и знала, что он из ИТМО сука;None
M@}{;2016-07-27 21:05:53;I'm at Студенческий городок Университета ИТМО in Санкт-Петербург https://t.co/UzsIGXdLtf;None
Бурык Кирилл;2016-07-27 19:56:21;Как поступить в ИТМО (Санкт-Петербург)?;None
Татьяна Фокина;2016-07-27 19:21:40;«Лекториум» и Университет ИТМО запускают онлайн-курс по научной коммуникации https://t.co/lWlxuYCh3p;None
KudagoSPb;2016-07-27 18:20:06;Интерактивная выставка «Живой свет» в Музее оптики Университета ИТМО https://t.co/ZCmE1vTRm1;None
