tname;tdate;ttext;tgeo
nopolly;2016-07-31 18:40:03;@IrenVinograd и так, на всякий случай, наш журфак в урфу лучше даже, чем спбгу в каком-то плане. От МГУ особо ничем не отличается;None
Ivan Prozorov;2016-07-31 17:21:01;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Князев Владислав;2016-07-31 17:13:26;Единственное, что хорошо в общаге СПбГУ - вид из окна https://t.co/HiiAxBa9SI;None
Maria Cherepanova;2016-07-31 16:46:48;Иногда полезно разгребать всякое дерьмо на даче. Нашла все, что мне нужно было бы найти в начале года и я бы даже в СПБГУ поступила 😐;None
DM;2016-07-31 14:57:01;@KBarieva если говорить про ведущие (МГУ и т.п.), то первые ТОП-10 в Москве (но туда сложно поступить), а в Спб только СПбГУ ведущий...;None
Настюхен;2016-07-31 14:21:35;-Привет. Что читаешь? -Парфюмера -Ого. Меня Саша зовут -Настя, очень приятно -мне 20, я с физфака СПбГУ, а ты? -.......................;None
Александр Сергеев;2016-07-31 14:12:33;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
диир;2016-07-31 13:56:27;RT @n_nastya97: Смотрю сайт СПбГУ. Радуюсь за Викулю, которая уже зачислена БВИ, и переживаю за Настю @skrount, потому что очень хочу, чтоб…;None
Александр;2016-07-31 13:49:34;То чувство, когда тебе звонят из СПбГУ и говорят, что ты проходишь на бюджет☝;None
Милкович';2016-07-31 13:06:17;ПИЗДЕЦ БЛЯТЬ КАКОЙ ОТБИТЫЙ ЧЕЛОВЕК ЗАБИРАЕТ ДОКУМЕНТЫ ИЗ СПБГУ МНЕ СТЫДНО ЧТО ЭТО МОЙ ДРУГ;None
Бравый_солдат_Швейк;2016-07-31 12:58:40;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Игорь Акушев;2016-07-31 12:53:00;RT @Nikelarin56: Закон Времени – Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/ewbJYEM…;None
Илья;2016-07-31 12:48:03;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/d8bakfMEbL https://t.co/UztxtQTcIk;None
Илья;2016-07-31 12:48:02;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/d8bakfMEbL https://t.co/STe8ucvOnV;None
Николай;2016-07-31 12:47:48;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/U3FgyJjiz5 https://t.co/9DSWvixNtq;None
Николай;2016-07-31 12:47:48;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/U3FgyJjiz5 https://t.co/mQQYN5eJzg;None
Евгений;2016-07-31 12:47:36;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/LMEuyzgP0b https://t.co/KotJSmTwQs;None
Евгений;2016-07-31 12:47:33;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/LMEuyzgP0b https://t.co/BOslOhwj8n;None
Никита;2016-07-31 12:47:21;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/QdXCn98mf0 https://t.co/kNrqe0pRcP;None
